Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of cell cycle G2/M phase transition (GO:1902749)	4/85	4.526848328599081E-9	4.446936107104261E-7	0	0	491.679012345679	9446.746804612636	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
ciliary basal body-plasma membrane docking (GO:0097711)	4/95	7.11185516924085E-9	4.446936107104261E-7	0	0	437.42857142857144	8206.817325323738	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
activation of protein kinase A activity (GO:0034199)	3/17	1.0183823146040292E-8	4.446936107104261E-7	0	0	1427.142857142857	26262.94696623494	PRKAR2B;PRKAR2A;PRKACA
cellular response to glucagon stimulus (GO:0071377)	3/19	1.450877006907727E-8	4.7516221976228055E-7	0	0	1248.625	22535.823967769105	PRKAR2B;PRKAR2A;PRKACA
response to glucagon (GO:0033762)	3/21	1.990962196819724E-8	4.884292706465438E-7	0	0	1109.7777777777778	19678.64914537227	PRKAR2B;PRKAR2A;PRKACA
G2/M transition of mitotic cell cycle (GO:0000086)	4/130	2.5304371186962805E-8	4.884292706465438E-7	0	0	315.36507936507934	5516.457008459543	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
cell cycle G2/M phase transition (GO:0044839)	4/131	2.609927400401379E-8	4.884292706465438E-7	0	0	312.86614173228344	5463.067812909868	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	4/149	4.3863891531197294E-8	7.182712238233557E-7	0	0	273.7793103448276	4638.416815223407	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
renal water homeostasis (GO:0003091)	3/31	6.721413905827613E-8	9.783391351815746E-7	0	0	713.0714285714286	11776.64718510057	PRKAR2B;PRKAR2A;PRKACA
regulation of mitotic cell cycle phase transition (GO:1901990)	4/188	1.117675088396224E-7	1.4641543657990535E-6	0	0	215.32608695652175	3446.6912848193556	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
mitotic cell cycle phase transition (GO:0044772)	4/209	1.7098032600631765E-7	2.0362202460752373E-6	0	0	193.06341463414634	3008.2595554583527	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
anterograde trans-synaptic signaling (GO:0098916)	4/244	3.1805674779778336E-7	3.472119496792468E-6	0	0	164.61666666666667	2462.835879145428	PRKAR2B;PRKAR2A;AKAP9;PRKACA
chemical synaptic transmission (GO:0007268)	4/306	7.867591557517545E-7	7.928111492575373E-6	0	0	130.41059602649005	1832.9657445317782	PRKAR2B;PRKAR2A;AKAP9;PRKACA
cilium assembly (GO:0060271)	4/314	8.721929703497549E-7	8.161234222558422E-6	0	0	126.99354838709678	1771.8463883890943	PRKAR2B;AKAP9;PRKACA;CDK5RAP2
negative regulation of cAMP-dependent protein kinase activity (GO:2000480)	2/8	2.0982540726248864E-6	1.832475223425734E-5	0	0	1665.6666666666667	21777.60051675149	PRKAR2B;PRKAR2A
cellular response to peptide hormone stimulus (GO:0071375)	3/106	2.86060553354541E-6	2.3421207805903044E-5	0	0	193.11650485436894	2465.0312290525903	PRKAR2B;PRKAR2A;PRKACA
activation of protein kinase activity (GO:0032147)	3/114	3.5623749464767863E-6	2.7451242234615235E-5	0	0	179.12612612612614	2247.1521404508044	PRKAR2B;PRKAR2A;PRKACA
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	3/136	6.0595323420721485E-6	4.270941273089907E-5	0	0	149.33082706766916	1794.0423278959074	PRKAR2B;PRKAR2A;PRKACA
regulation of inflammatory response to antigenic stimulus (GO:0002861)	3/137	6.19449497623727E-6	4.270941273089907E-5	0	0	148.2089552238806	1777.2994955855124	PRKAR2B;PRKAR2A;PRKACA
regulation of cAMP-dependent protein kinase activity (GO:2000479)	2/14	6.813965891716014E-6	4.4631476590739895E-5	0	0	832.5833333333334	9904.857801447115	PRKAR2B;PRKAR2A
regulation of Golgi organization (GO:1903358)	2/17	1.0179480503462377E-5	6.350056885493198E-5	0	0	665.9666666666667	7655.377790553264	AKAP9;PDE4DIP
negative regulation of immune response (GO:0050777)	3/178	1.3592792111210975E-5	8.093889848039261E-5	0	0	113.25142857142858	1269.0922126762925	PRKAR2B;PRKAR2A;PRKACA
regulation of protein kinase A signaling (GO:0010738)	2/20	1.4215693891863761E-5	8.09676478188762E-5	0	0	554.8888888888889	6193.205890662571	PRKAR2B;PRKAR2A
regulation of cAMP-mediated signaling (GO:0043949)	2/25	2.2430970983737594E-5	1.201993370668442E-4	0	0	434.1521739130435	4647.628509727224	PRKAR2B;PRKAR2A
negative regulation of inflammatory response (GO:0050728)	3/212	2.2938804783748892E-5	1.201993370668442E-4	0	0	94.66507177033493	1011.2767209144008	PRKAR2B;PRKAR2A;PRKACA
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	2/26	2.429699630089033E-5	1.224194813621782E-4	0	0	416.0416666666667	4420.508369807684	AKAP9;CDK5RAP2
positive regulation of microtubule polymerization (GO:0031116)	2/28	2.825177841423845E-5	1.37073443417231E-4	0	0	384.0	4022.151993460553	AKAP9;CDK5RAP2
regulation of microtubule polymerization (GO:0031113)	2/40	5.820444578089953E-5	2.723136570463514E-4	0	0	262.57894736842104	2560.5514238832598	AKAP9;CDK5RAP2
positive regulation of protein polymerization (GO:0032273)	2/69	1.7438628883467062E-4	7.877449599083398E-4	0	0	148.7089552238806	1286.9626419636907	AKAP9;CDK5RAP2
negative regulation of protein serine/threonine kinase activity (GO:0071901)	2/78	2.2295566243908416E-4	9.735730593173341E-4	0	0	131.03947368421052	1101.8503454124493	PRKAR2B;PRKAR2A
regulation of organelle organization (GO:0033043)	2/80	2.3454944800385775E-4	9.911605705969471E-4	0	0	127.66666666666667	1067.018100165012	AKAP9;PDE4DIP
positive regulation of supramolecular fiber organization (GO:1902905)	2/91	3.035036602608174E-4	0.0012424681091927213	0	0	111.82584269662921	905.8023968713482	AKAP9;CDK5RAP2
regulation of cell differentiation (GO:0045595)	2/156	8.883122339049933E-4	0.0035263303830773978	0	0	64.41558441558442	452.59595869610916	PRKACA;CDK5RAP2
regulation of mitotic sister chromatid segregation (GO:0033047)	1/6	0.00179884089014784	0.006732804474553345	0	0	799.56	5053.709147518722	CDK5RAP2
