Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cation channel complex (GO:0034703)	2/73	1.952441783803584E-4	0.0027107723130113536	0	0	140.30281690140845	1198.3627797911195	AKAP9;PRKACA
plasma membrane raft (GO:0044853)	2/82	2.464338466373958E-4	0.0027107723130113536	0	0	124.4625	1034.0863472703556	PRKAR2A;PRKACA
membrane raft (GO:0045121)	2/163	9.691823119061814E-4	0.007107336953978663	0	0	61.59316770186335	427.39855196251705	PRKAR2A;PRKACA
synaptic membrane (GO:0097060)	1/26	0.007775574144635047	0.03397200491561972	0	0	159.752	775.8783981291459	AKAP9
myofibril (GO:0030016)	1/27	0.00807362689081275	0.03397200491561972	0	0	153.6	740.2218192098322	PDE4DIP
Golgi stack (GO:0005795)	1/31	0.009265092249714469	0.03397200491561972	0	0	133.09333333333333	623.0766346487915	AKAP9
cytoskeleton (GO:0005856)	2/600	0.012438807963875064	0.034993514243948844	0	0	16.217391304347824	71.14462561413292	AKAP9;CDK5RAP2
calcium channel complex (GO:0034704)	1/45	0.013425837026561787	0.034993514243948844	0	0	90.68181818181819	390.89071422300736	PRKACA
acrosomal vesicle (GO:0001669)	1/48	0.014315528554342706	0.034993514243948844	0	0	84.88085106382978	360.4389302463305	PRKACA
cis-Golgi network (GO:0005801)	1/57	0.01698059341210605	0.03735730550663331	0	0	71.20714285714286	290.2178235808619	AKAP9
glutamatergic synapse (GO:0098978)	1/69	0.02052467181593053	0.039790048370350994	0	0	58.60588235294118	227.74993771071073	AKAP9
voltage-gated potassium channel complex (GO:0008076)	1/73	0.02170366274746418	0.039790048370350994	0	0	55.33888888888889	211.9631207182121	AKAP9
potassium channel complex (GO:0034705)	1/80	0.023764051554239853	0.040216087245636675	0	0	50.41772151898734	188.54116752551658	AKAP9
intracellular non-membrane-bounded organelle (GO:0043232)	2/1158	0.04298771307569589	0.06755212054752212	0	0	8.147923875432525	25.640220480554074	AKAP9;CDK5RAP2
microtubule (GO:0005874)	1/182	0.053379096585363536	0.07828934165853318	0	0	21.89281767955801	64.15331308750629	CDK5RAP2
polymeric cytoskeletal fiber (GO:0099513)	1/256	0.07439266472267292	0.10228991399367526	0	0	15.481568627450981	40.227275943472684	CDK5RAP2
microtubule cytoskeleton (GO:0015630)	1/331	0.0952921174447928	0.12331921081090833	0	0	11.917575757575758	28.015934633991336	CDK5RAP2
focal adhesion (GO:0005925)	1/387	0.11063931324852903	0.13031221089896708	0	0	10.15958549222798	22.36612222457128	PRKAR2A
cell-substrate junction (GO:0030055)	1/394	0.11254236395819883	0.13031221089896708	0	0	9.975063613231551	21.789783916421012	PRKAR2A
intracellular membrane-bounded organelle (GO:0043231)	3/5192	0.1848783009470524	0.20336613104175766	0	0	2.8531508961264214	4.816282777652247	AKAP9;PDE4DIP;PRKACA
integral component of plasma membrane (GO:0005887)	1/1454	0.3642353556638337	0.38157989640973056	0	0	2.5520991052993804	2.577505350901578	AKAP9
nucleus (GO:0005634)	2/4484	0.4039472873214386	0.4039472873214386	0	0	1.7304774654172244	1.5686274420774908	PDE4DIP;PRKACA
