Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	2/8	2.0982540726248864E-6	3.06668830266559E-5	0	0	1665.6666666666667	21777.60051675149	PRKAR2B;PRKAR2A
cAMP-dependent protein kinase regulator activity (GO:0008603)	2/10	3.3713141681840526E-6	3.06668830266559E-5	0	0	1249.125	15739.234728974254	PRKAR2B;PRKAR2A
protein kinase binding (GO:0019901)	4/506	5.833060659878629E-6	3.06668830266559E-5	0	0	77.65737051792829	935.9241996463367	PRKAR2B;PRKAR2A;PRKACA;CDK5RAP2
protein kinase A catalytic subunit binding (GO:0034236)	2/13	5.841311052696361E-6	3.06668830266559E-5	0	0	908.3181818181819	10945.7384718158	PRKAR2B;PRKAR2A
protein kinase A regulatory subunit binding (GO:0034237)	2/22	1.7278715595310902E-5	7.25706055003058E-5	0	0	499.35	5475.88964033087	AKAP9;PRKACA
protein serine/threonine kinase inhibitor activity (GO:0030291)	2/30	3.250333722969562E-5	1.1376168030393467E-4	0	0	356.5357142857143	3684.4998945238362	PRKAR2B;PRKAR2A
ubiquitin protein ligase binding (GO:0031625)	3/265	4.4661327597138224E-5	1.3398398279141466E-4	0	0	75.31297709923665	754.3650985184082	PRKAR2B;PRKAR2A;PRKACA
ubiquitin-like protein ligase binding (GO:0044389)	3/282	5.375293596415535E-5	1.411014569059078E-4	0	0	70.66308243727599	694.6966967751849	PRKAR2B;PRKAR2A;PRKACA
protein kinase regulator activity (GO:0019887)	2/98	3.5194284531443883E-4	8.211999724003573E-4	0	0	103.63541666666667	824.1131618546726	PRKAR2B;PRKAR2A
cAMP-dependent protein kinase activity (GO:0004691)	1/5	0.0014992198216206949	0.003148361625403459	0	0	999.5	6499.5590198897235	PRKACA
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	1/6	0.00179884089014784	0.0034341507902822402	0	0	799.56	5053.709147518722	PRKACA
gamma-tubulin binding (GO:0043015)	1/23	0.006880968324420164	0.012041694567735286	0	0	181.56363636363636	904.0045996114618	CDK5RAP2
kinase binding (GO:0019900)	2/461	0.007478194757560593	0.012080160762213266	0	0	21.27995642701525	104.1816415899999	PRKACA;CDK5RAP2
protein serine/threonine/tyrosine kinase activity (GO:0004712)	1/28	0.008371605061186147	0.01255740759177922	0	0	147.9037037037037	707.410051609059	PRKACA
potassium channel regulator activity (GO:0015459)	1/50	0.014908284799373634	0.020871598719123086	0	0	81.40816326530613	342.3895623444841	AKAP9
transcription regulatory region nucleic acid binding (GO:0001067)	1/212	0.06194551081343659	0.08130348294263552	0	0	18.75165876777251	52.15774145416644	CDK5RAP2
microtubule binding (GO:0008017)	1/232	0.06762048644493719	0.08353118913786359	0	0	17.110822510822512	46.09389148248788	CDK5RAP2
tubulin binding (GO:0015631)	1/307	0.08864752744701229	0.10342211535484767	0	0	12.86797385620915	31.18022194348078	CDK5RAP2
protein serine/threonine kinase activity (GO:0004674)	1/344	0.09887438114453627	0.109282210738698	0	0	11.458309037900875	26.5134398563218	PRKACA
transcription cis-regulatory region binding (GO:0000976)	1/549	0.15382025655248752	0.1615112693801119	0	0	7.097080291970803	13.285525109339556	CDK5RAP2
sequence-specific double-stranded DNA binding (GO:1990837)	1/712	0.19549008035163337	0.19549008035163337	0	0	5.4241912798874825	8.85361257110031	CDK5RAP2
